rank,track_name,artist_name,album_name,play_count,total_ms,total_hours,spotify_uri
47,Don't Turn It Off - Greg Wilson Instrumental Edit,40 Thieves,Don't Turn It off (Remixes),119,27108793,7.53,spotify:track:50KjWPqjbYMaou5uMKRknW
48,Beam Me Up,Midnight Magic,Walking the Midnight Streets,118,35699405,9.92,spotify:track:75SS50WWBZINsZgccsSnGs
49,Idol,Mind Enterprises,Panorama EP,118,28199573,7.83,spotify:track:0o15nDyr5XH7vy3MV1JK8B
50,Sunshine,Gabriele Poso,Roots of Soul,117,28423457,7.9,spotify:track:6Y3IqmtMPomSwkpHvXYwhu
51,Hiccups (Roman Flügel Elektro House Mix),Off The Meds,Hiccups (Roman Flügel Remixes),117,28364190,7.88,spotify:track:4pNMB5Xq2yFIEpPnkYCzK5
52,Topdown,Channel Tres,Channel Tres,116,25051422,6.96,spotify:track:6KflfPD0qIbbB1PQyAHla5
53,I'm Lonely,Hollis P. Monroe,I'M Lonely,115,41991160,11.66,spotify:track:7iEgoNG4xlbpTxLuMNrBl5
54,Amsterdam - DJ Tennis Remix,Orofino,Amsterdam,115,23292715,6.47,spotify:track:1NTjLLTuGBj1DJ4ryMS8W3
55,She Can't Love You,Chemise,She Can't Love You,114,34464431,9.57,spotify:track:3CX1FiiXSbvKjsXRYwApAP
56,Tadow,Masego,Tadow,114,30917225,8.59,spotify:track:6R6EFWOFwrXg0sEtz9QnUe
57,Only You - Frankie Francis Disco Jam Edit,Steve Monite,Steve Monite / Tabu Ley Rochereau Edits,113,46842357,13.01,spotify:track:1MNJqhMyxeojG0z0yUpSDj
58,Ya Just Need 2 Believe in Yaself,Folamour,4MYPPL#1,113,42592781,11.83,spotify:track:3u1hU4L9HLGBjcj1nQekIv
59,Sex On The Beach,DJ Assault,Greatest Hits Vol. 1,113,20160981,5.6,spotify:track:4erJBoqNtQtSgwTmnSGY7A
60,Milles Away,Linkwood Family,Firecracker EP1,112,50858902,14.13,spotify:track:1E6kgbqLP4GPd4gsKab6Wt
61,Relax My Eyes,ANOTR,Relax My Eyes,109,20094017,5.58,spotify:track:5u4hhtZ7f4rWkMZEZcTKrH
62,Seventies,Theo Kottis,Seventies,109,20051391,5.57,spotify:track:4k0vs6zgt0NYq6tmDum4nP
63,Tondo,Disclosure,ENERGY,108,31707933,8.81,spotify:track:0csz09qS2n8Jo7LogHKu7j
64,Scrap The Book,Crazy P,Walk Dance Talk Sing,107,26977305,7.49,spotify:track:6FiXEbxFxZehj66XZf8AxE
65,Kinderwens,Goldband,Betaalbare Romantiek,106,24877115,6.91,spotify:track:3ArzW31e07kWntKrUK6KTY
66,Owhaaou! - Raphael Top-Secret Edit,Stanislas Tohon,Hunchin' All Night,105,31490183,8.75,spotify:track:7Jfu85P1pYslQMsFjRJYnr
67,"Baila Bolero - 7"" Radio Mix",Fun Fun,Baila Bolero,105,24114377,6.7,spotify:track:7pWW8HPtK8JvgTLRFzyQ2l
68,Living in Japan - Radio Edit,Fun Fun,Living in Japan,104,19967128,5.55,spotify:track:0mi5kqTqJWu1GKS1GdHQvv
69,Nuits brésiliennes,Christophe Laurent,Vidal Benjamin présente Disco Sympathie,103,33884687,9.41,spotify:track:0wOWQjMGq6hYWqTbn8P2mi
70,The Fighter,Arpeggio,Breakout,103,29383158,8.16,spotify:track:73AOEfJukct2xrOaPXzINK
71,De Wereld,Goldband,Betaalbare Romantiek,103,23412024,6.5,spotify:track:7os07tv6PHZnjql28AYpqM
72,Walk On the Wild Side,Lou Reed,Transformer,103,23362013,6.49,spotify:track:5p3JunprHCxClJjOmcLV8G
73,Africa Linda - Odd1 Edit,Gabriele Poso,Batik,102,35870643,9.96,spotify:track:52WdqxJ92dSPf25uLn63jR
74,Peace on Earth,Melodiesinfonie,A Journey to You,102,33293886,9.25,spotify:track:1azDFxP6HjRf9Xk1PlPYQ8
