rank,track_name,artist_name,album_name,play_count,total_ms,total_hours,spotify_uri
526,Son Of A Preacher Man,Dusty Springfield,Dusty In Memphis,32,4464093,1.24,spotify:track:6ek9SiEj5a65WIs2EV7qiM
527,Gatluak - Bakermat Remix,Kronan,Gatluak,32,4341366,1.21,spotify:track:0GT2hQQ6mdHeW0AZDl5NlJ
528,Call Me,Marlon Hoffstadt,Call Me,32,4279418,1.19,spotify:track:4iqtDvbICWuBERMTz9cz41
529,Hallo,Antoon,Hallo,32,3774112,1.05,spotify:track:7GwNDFyxvpHAd4l1IfUDmr
530,Long Day,Guru Griff,Nature Boi,32,3169777,0.88,spotify:track:708aD6BmFC9KLdeY5uou95
531,Honey - Skit,Coeo,Disco Volante EP,32,2776708,0.77,spotify:track:78Cjzp7Shwr3sGkMjXZpXa
532,Void Vision,Cyber People,Void Vision - The Album,31,12689804,3.52,spotify:track:2dWB85sLIZN6shUXNKq6lr
533,Speak Your Love (Live Bass),Jamie 3:26,Speak Your Love,31,12406074,3.45,spotify:track:5eAeoxRF8MabHmDVBXTTKV
534,Native Riddim,Coeo,Native Riddim,31,11209616,3.11,spotify:track:1FparOA4TsEvXx9Gi9mdRQ
535,Epsilon Girls,Andy Hart,La même pour moi,31,10326489,2.87,spotify:track:3mLDrrAL7v2xLZj6PZENL2
536,900 Degrees,Ian Pooley,Since Then. 2017,31,9825456,2.73,spotify:track:3nBF7oaQBAY6M2eVuUCnYn
537,Annemarie,Goldband,Betaalbare Romantiek,31,8116207,2.25,spotify:track:6wC9lD6lAvQ9fYhHnkrt9W
538,The Look,Metronomy,The English Riviera,31,7664681,2.13,spotify:track:6zfczP87XO2SxWlQtnjFNa
539,Loca Loca,Whodamanny,Placebo,31,7342053,2.04,spotify:track:5EpZEh32UKp413Kg4CxwPt
540,Rising Star,Bnj,Astronote EP,31,6900320,1.92,spotify:track:7CSeOtoMrvCbkRiZcwMlNc
541,It Ain't Over,DJ HEARTSTRING,It Ain't Over,31,6377788,1.77,spotify:track:2CXgBOHvaylFWhzk8aoNPG
542,Goldfish,Gabriele Poso,Batik,31,5560064,1.54,spotify:track:7vD1B9acDfZiCcwhCg2GHh
543,Sangfroid,Infinity Ripple,Wax Figures,31,5374178,1.49,spotify:track:24qMIt9iEQPSvhcIhHI21K
544,(Sittin' On) the Dock of the Bay,Otis Redding,The Dock of the Bay,31,4976647,1.38,spotify:track:3zBhihYUHBmGd2bcQIobrF
545,Boy U Nasty,Jensen Interceptor,"Dance Trax, Vol. 36",31,4828656,1.34,spotify:track:4aVEsdnZrP2borAsVin48m
546,Viceral,dublon,Viceral,31,3627357,1.01,spotify:track:3SDD5QpV9Pgc9it9bkHhsg
547,What You Gonna Ask For - Dego,Theo Parrish,What You Gonna Ask For,30,14719131,4.09,spotify:track:79D1gWUL04fImvO1jlVhOG
548,Vizzi Vazzi,Lauer,Phlipper EP,30,12095254,3.36,spotify:track:01r1W2YJkCLh7Sx9WrR6jQ
549,Wash Off - KUU Remix,Foals,Collected Reworks,30,11486069,3.19,spotify:track:1kczXYxlgoDvS3LhcgtGJw
550,Alode,Bosq,Love and Resistance,30,11397614,3.17,spotify:track:61dXo0kQ9gWjq5BBUODzW1
551,San Salvador,Azoto,Disco Fizz,30,10852318,3.01,spotify:track:7qwX54OM0eAWxFD2pYWejF
552,Hémisphère,Paradis,Hémisphère / Je m'ennuie,30,10841578,3.01,spotify:track:7fDvGoJhLSeJPF4cVlEsVs
553,Blind,Hercules & Love Affair,Hercules & Love Affair,30,10724485,2.98,spotify:track:7rWS1umX04r7zzWnGNDu8w
554,Full Moon,Mr. Fingers,Cerebral Hemispheres,30,10122757,2.81,spotify:track:2RHJvRwlDize7tOEiHqKpH
555,No Words,The Bahama Soul Club,Havana ´58,30,10065512,2.8,spotify:track:6xpdGlY8ZuNaUPvb2DWTI8
556,Acid Drop,Alan Dixon,Piano Drop,30,9422203,2.62,spotify:track:0bd12Gncxhhw6gnrUgNcF1
557,Memory Lake,Special Request,VORTEX,30,8803181,2.45,spotify:track:2rmTQp48eMk59ItD8ZdeAT
558,On My Mind - Purple Disco Machine Remix,Diplo,On My Mind,30,7748193,2.15,spotify:track:3ruSBJtsa5dVwbIl7miXBw
559,Navegar,João Selva,Navegar,30,7588607,2.11,spotify:track:2P9049oR2UeAP71sdA2ZQk
560,Like It Is - Mixed,Coeo,Defected In The House Radio Show Episode 041 (hosted by Sam Divine),30,7526205,2.09,spotify:track:5ReLOUboXvaOVariwEJnl3
561,Africa,TOTO,Toto IV,30,7200219,2.0,spotify:track:2374M0fQpWi3dLnB54qaLX
562,Good Life,Inner City,Paradise,30,7106556,1.97,spotify:track:5sJiLlgQKBL81QCTOkoLB5
563,Boombastic,Shaggy,Boombastic,30,7008228,1.95,spotify:track:4fxF8ljwryMZX5c9EKrLFE
564,Miss Piggy,Faberyayo,Het Grote Gedoe,30,6670184,1.85,spotify:track:173eXUInuTKAyTuNE8al1W
565,Reptilia,The Strokes,Room On Fire,30,6154045,1.71,spotify:track:57Xjny5yNzAcsxnusKmAfA
566,LA NOCHE DE ANOCHE,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,30,6012349,1.67,spotify:track:2XIc1pqjXV3Cr2BQUGNBck
567,Blackpool Boulevard - Edit,Anish Kumar,Blackpool Boulevard,30,5759455,1.6,spotify:track:603pPHCZn9Ng9K9woYdWEd
568,When The Sun Goes Down,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",30,5607550,1.56,spotify:track:2zzLRQ78kKfPTx8FJQCdC2
569,Vamos a la Playa,Righeira,The Singles 83/87,30,5438680,1.51,spotify:track:3oQhgsBwOGaxr5dWKAim7Y
570,Shine On,The Kooks,Konk,30,5422930,1.51,spotify:track:4A2VE70wXX5lJvHiZB92ex
571,Atemlos durch die Nacht,Helene Fischer,Farbenspiel,30,4801737,1.33,spotify:track:1cSXzDZt8vzuUp2XREQEJN
572,"They Call Me the Queen of Fools - 12"" Mix",Jessica Williams,Queen of Fools,29,14972307,4.16,spotify:track:4dzHUGto9enNmvYCFhJRgd
573,I Can't Believe I Loved Her - Main Mix,Peven Everett,I Can't Believe I Loved Her,29,14639830,4.07,spotify:track:1oA0KtcRQhRUvBDUiqE9FF
574,Use Me Again - Remastered,Tom Trago,Use Me Again,29,13039010,3.62,spotify:track:1xrUFNza7ztV00cAIXfM9C
575,Put Your Hands,Benny Blanko,8 Ft. In the Air,29,12140887,3.37,spotify:track:6pBI8YXVKzmfzFrW59chWf
576,Dance Ritual I - Lipelis Dream Dance Mix,Auntie Flo,Theory of Flo Remixed,29,11954232,3.32,spotify:track:2LOhUetJibF1413tjOJ03R
577,No Secrets,Gioia,Italo Disco Donna,29,11546569,3.21,spotify:track:1RH6bdeMHJz9bqERu5c4aq
578,Timba (Full Intention Club Mix),Awa Band,Timba,29,10536352,2.93,spotify:track:4O7XG4Q58ZP8Drmunn0uqB
579,(It Goes Like) Nanana - Edit,Peggy Gou,(It Goes Like) Nanana,29,9342708,2.6,spotify:track:23RoR84KodL5HWvUTneQ1w
580,Kilimanjaro,Letta Mbulu,Joey Negro presents It's A Summer Groove Vol.1,29,9294201,2.58,spotify:track:5pScGaO4lXcqtUqMnx7Uyf
581,We Can Move,Free Youth,We Can Move,29,9008552,2.5,spotify:track:3iJX7lvPFzH13OZ6I6Gc4c
582,Spicy Snapper,Ian Pooley,Since Then. 2017,29,8805538,2.45,spotify:track:1eXDhV76Gea8XuPqcAw0s5
583,Soul Eyes,Mitchell Jackson Quartet,Soul Eyes,29,8508294,2.36,spotify:track:1LXFOGQytHPAaU59KAN6Tq
584,Shinjuku Strut,Rick Wade,Hustler's Lullaby,29,8494452,2.36,spotify:track:40eiz1003cXrXFRnMtBvIU
585,What Would You Do? (feat. Andrés & Amp Fiddler) - Folamour Remix,Dames Brown,What Would You Do? (feat. Andrés & Amp Fiddler),29,7674769,2.13,spotify:track:22D1qXv47znoAPzQMzlT59
586,Mirror,Brenda Fassie,Legends,29,7348794,2.04,spotify:track:5dMByZ4nkChh3uN4J1xTg1
587,Ecstasy,Disclosure,Ecstasy,29,7293920,2.03,spotify:track:5wzGHgamBPcqrWwuhGDfam
588,DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,29,7227994,2.01,spotify:track:3sK8wGT43QFpWrvNQsrQya
589,Equitoreal,Gabriele Poso,Batik,29,6348711,1.76,spotify:track:4nOP7L07by9wDNcjz4tAez
590,Techno Freak,DJ Assault,1990's B-Sides,29,6158804,1.71,spotify:track:3kgHAWy2f6nd459IGCKBBA
591,Pearl Necklace,Le Le,Partytime,29,6144199,1.71,spotify:track:7GZsSAN387MiVuvmSyx0GF
592,Come Into My Life - Radio Edit,Jürgen Paape,Kompilation,29,6104513,1.7,spotify:track:2z5PQ8n9F6JQL3Cb6TA2ka
593,Ananda,Goom Gum,Ananda,29,5840406,1.62,spotify:track:0zzyvAa03DmOuFsADmFRRJ
594,New Heights (Visions of Aisha Malik),Kamaal Williams,New Heights / Snitches Brew,29,5745082,1.6,spotify:track:3e5WGWubT7SchwwDSPQhhE
595,4 Us,Otis Junior,Hemispheres,29,5582222,1.55,spotify:track:6BEl1UvgAjt7D728sEy7x4
596,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,The Queen Is Dead,29,5368483,1.49,spotify:track:0WQiDwKJclirSYG9v5tayI
597,It's Not Unusual,Tom Jones,Along Came Jones,29,3458194,0.96,spotify:track:3TlIt0ReIxPsVZcOEivT5U
598,Stuck Inside,CaliCronk,"Fall Frequencies, Vol.1",29,3072335,0.85,spotify:track:5P8Xfd8QZlqhl2xDAqcZzI
599,In My Head,Lofty,Hideaway,29,2242161,0.62,spotify:track:1uXWjpfJ3CynJ84t1Z9tw7
600,We Magnify His Name,Floorplan,Sanctified EP,28,13204864,3.67,spotify:track:1l3K4IPHiL7IHfLMbDreHW
601,Light Star - COEO Edit,Coeo,Light Star (COEO Edit),28,9882867,2.75,spotify:track:3s7oUJmDGCWmHvRe10E6mM
602,Stronger Than Me,Sweely,"Nice Archive Traxx, Vol. 1",28,9686800,2.69,spotify:track:6pmSpiiI0qVBBeFXX2uuE1
603,No Disco,Staffan Ohman,Synthesizer Tribute to Depeche Mode,28,9026936,2.51,spotify:track:5truRHwxudL5OWrhV3Oqzh
604,Nyako - Daisho Remix,Makadem,Nyako,28,8451495,2.35,spotify:track:6PbLGFCcPLAJOrIJc08tiK
605,Watskeburt?!,De Jeugd Van Tegenwoordig,Parels Voor De Zwijnen,28,8232344,2.29,spotify:track:2Oaq2Q6JFS1xIXGL9TVryY
606,Sample Dream,Magou,Dreams,28,8094675,2.25,spotify:track:4U23NtQuvgnPAjMyjQAZmj
607,Mit Dir,Jürgen Paape,Kompilation,28,7991852,2.22,spotify:track:39cHfFYBVsIgj07SzenRW2
608,Be Your Lover,Giovanni Damico,Fall In The Groove,28,7767044,2.16,spotify:track:0J9PKMJ09HEZdZP0sXTMYz
609,One More Minute over Me,The Cinelli Brothers,One More Minute over Me,28,7719587,2.14,spotify:track:3yQaPeclp7GWUCSTa53msl
610,Laamore,Hidden Spheres,Laamore,28,7386880,2.05,spotify:track:4uC2RrHmTfq96i55BTk1ML
611,Expressing What Matters,Disclosure,Ecstasy,28,7202640,2.0,spotify:track:3FeVszrXFJCEcmbYWBZtRQ
612,Bumayé - Voilaaa Disco Remix,Lass,Bumayé,28,7133448,1.98,spotify:track:1iU6nqqgtahrZZdcPm2OOL
613,Ex,Goldband,Betaalbare Romantiek,28,6986048,1.94,spotify:track:68PS5mPE6WmU1WfRPOECp4
614,Last Night a D.J. Saved My Life,Indeep,Last Night a D.J. Saved My Life,28,6870559,1.91,spotify:track:7pHswjfOmxFhnsq5XYrkTS
615,Dis kô Dis kô,Yin Yin,The Rabbit That Hunts Tigers,28,6600708,1.83,spotify:track:2NRWckehPD8dwH2iXmjZeB
616,Givin' Up Givin' In,The Three Degrees,The Best Of,28,6571362,1.83,spotify:track:69F4BXLcsrlHg2s2mViAfG
617,Foolish Man,Jack J,Blue Desert,28,6395078,1.78,spotify:track:77Kvpeoj0zsstt1N0NBOf7
618,Bang Bang You're Dead,Dirty Pretty Things,Waterloo To Anywhere,28,5679932,1.58,spotify:track:0fiB5cRA2lngpF06X1Ou4u
619,Everybody Loves The Sunshine,Netsky,Second Nature,28,5518836,1.53,spotify:track:4ch0ejqrSwJrotLroa9mXn
620,First Season,Henry Lindon,Late Night Walk,28,5515480,1.53,spotify:track:0JV4YY8aqwUmDJyPEozdxJ
621,Never Gonna Give You Up,Rick Astley,Whenever You Need Somebody,28,5352983,1.49,spotify:track:4PTG3Z6ehGkBFwjybzWkR8
622,LA FAMA,ROSALÍA,MOTOMAMI,28,4941133,1.37,spotify:track:6Y46tOTRhkBamosyuWa6YX
623,Belle,dublon,Belle,28,4002186,1.11,spotify:track:19MuwU5fHAmlSjqXSfILhR
624,Amalia,Wesly Bronkhorst,Amalia,28,3978011,1.11,spotify:track:3c28vYkrzU9nVqvJfbaSiu
625,(Over)Thinking,Nia Archives,Headz Gone West,28,3767597,1.05,spotify:track:2umDDFvRJtjmIZcnTTfIWL
626,The Love I Lost - Dimitri From Paris Super Disco Blend,Harold Melvin & The Blue Notes,Philadelphia International Records: Dimitri From Paris Remixes,27,16655948,4.63,spotify:track:38pSHrX1m5GRqQRHDdG3x8
627,Weightless Part 1,Marconi Union,Weightless (Ambient Transmission Vol. 2),27,12047316,3.35,spotify:track:2UZZtkoLOg7IHxeTAdPFvd
628,Blue Monday - 2016 Remaster,New Order,Singles,27,11279189,3.13,spotify:track:1RSy7B2vfPi84N80QJ6frX
629,Val' Carretero,"Ernest ""Chico"" Alvarez",Soneros de Cuba y New York,27,10450771,2.9,spotify:track:1pCOqQCSSM0SPQ6FmIrqC7
630,Love's Got Me High - Marc Romboy's Systematic Soul Mix,Terrence Parker,Love's Got Me High,27,10303871,2.86,spotify:track:6khiPXapuKJt8npyZXhL0Q
631,Take Me to My House,Sweely,"Les chroniques de monsieur Montana, pt. 1",27,9457406,2.63,spotify:track:08WhZ0NJBPGhMX3Y5CI4ir
632,I Want Your Soul,Armand Van Helden,The Best of Armand Van Helden,27,9243966,2.57,spotify:track:1G9Ptmv0M1y0vzdq2R0AL6
633,Cosmology,Roza Terenzi,Stylish Tantrum,27,9187112,2.55,spotify:track:1M2R7cAdnwWO08JinxumOU
634,Love Comes Easy,Vera,The Collection: Take Me to the Bridge / Joey,27,8177353,2.27,spotify:track:3ExcEpHblGcPikCpcgNNAB
635,Kiri Kiri Mabina Ya Sika,Docteur Nico,Eternel Docteur Nico,27,8000786,2.22,spotify:track:6Qf2AHUwWxGsyE30kaaLmt
636,Cog in the Wheel,Baba Ali,Nomad EP,27,7642388,2.12,spotify:track:3uXfYljIQAhATWWGjjCSJA
637,Lucky Star,Superfunk,Hold Up,27,7487750,2.08,spotify:track:3JhAETPmy2RZSLTZ6FmcHp
638,Gone With The Wind,Gustav Scheringer Duo,Gone With The Wind,27,7151461,1.99,spotify:track:5R82FS4qmgmr0I0vjDxu2F
639,Strings of Fear,Jensen Interceptor,Strings of Fear,27,7083715,1.97,spotify:track:3ocbJqkVpxkxsYheozHrys
640,Something My Heart Trusts,Yazmin Lacey,Something My Heart Trusts,27,6991151,1.94,spotify:track:3x6MMrVeJrWLbLCs6wgMf0
641,Rebelde Silueta,Nsue,"Ritmo Fantasía: Balearic Spanish Synth-Pop, Boogie And House (1982-1992)",27,6582254,1.83,spotify:track:2IHSnyPIw0SABUYnrXACei
642,You Spin Me Round (Like a Record) - Rip It Up Version,Dead Or Alive,Rip It Up,27,6535131,1.82,spotify:track:0xPJ7pJgqtGGEuQ4t9SU84
643,Lime Tree,Gabriele Poso,Batik,27,6493619,1.8,spotify:track:3k91qkkZTXQjbTsrAqtOb1
644,Got My Mind Set on You,George Harrison,Cloud Nine,27,6009782,1.67,spotify:track:4wswaG5vmNINMZcVBsAyBP
645,Menino Brincadeira,Ian Pooley,Since Then. 2017,27,5923706,1.65,spotify:track:4p8q3AmqNMBwVp2C5FyfKW
646,Upside Down,Diana Ross,Diana,27,5882562,1.63,spotify:track:3pbtBomO4Zt5gGiqsYeiBH
647,Bette Davis Eyes,Kim Carnes,Mistaken Identity,27,5815447,1.62,spotify:track:0odIT9B9BvOCnXfS0e4lB5
648,You Go To My Head,Paul Moretti Trio,Cheek To Cheek,27,5746283,1.6,spotify:track:4mFe5Dps693mNeAvnyT09T
649,Roll Play,PAWSA,Roll Play,27,5460641,1.52,spotify:track:4szwPQ7ajXpyqykjtv6RLE
650,Libertine,Courrier Sud,Libertine,27,5431007,1.51,spotify:track:4MjIblWJEb9bhgSq7CJQsl
651,Feel Good,Jitwam,Feel Good,27,4594283,1.28,spotify:track:3j81JGhjUAXrfuAbvTpE3b
652,Spooky,Dusty Springfield,Dusty... Definitely,27,4087687,1.14,spotify:track:3MtP9T0WF4xbIo8vqHYeXM
653,shores,sonofmark,shores,27,3840021,1.07,spotify:track:2S6dQzTR3ImNbEVCTaEPPR
654,Ecstasy - Mixed,Fabich,Café Kitsuné Mixed by Fabich,27,3657681,1.02,spotify:track:2PspwQLfDzLUOyaxQ7de5L
655,Soms Designer,Cazz Major,Soms Designer,27,3373421,0.94,spotify:track:7Jt3et5jK5wo2hRpjZXax2
656,Get Up,Miyagi & Andy Panda,Get Up,27,3032447,0.84,spotify:track:75xhHLjlTiCj5g6Coi9LUO
657,Obsessed With You,Central Cee,23,27,2998881,0.83,spotify:track:4oxGI8yyghLuMV7ybRG3kg
658,BILLIE EILISH.,Armani White,BILLIE EILISH.,27,2694384,0.75,spotify:track:27ZZdyTSQWI7Cug2d2PkqV
659,Calling Out (Floorplan Extended Revival Mix) - Mixed,Sophie Lloyd,Detroit Love Vol. 2,26,11412180,3.17,spotify:track:0vlLc8pkEWAbAD4gDDZUvH
660,Gorilla Man,Condry Ziqubu,Best Of Condry,26,10445866,2.9,spotify:track:3FroAZKwcaLtQNHgnDlqed
661,Volpi Polari,Skatebård,Volpe,26,10385136,2.88,spotify:track:4RVhp9KUMiu9OwvHk5g3bf
662,Giving Up On - Alan Dixon Remix,Ekkah,Giving Up On,26,10047531,2.79,spotify:track:54SGVJ4xSCRha8ViDwy7MU
663,MCP - Swallowed My Tab Mix,Jensen Interceptor,Master Control Program EP,26,8364780,2.32,spotify:track:3cR9nXHUjqohfypAE6Dgyg
664,Adome Nyueto,Yta Jourias,Togo Soul 70,26,8145978,2.26,spotify:track:4JxUuQvXNpSWOZloyLpqVU
665,MDZhB,Pessimist,Blue 09,26,7611368,2.11,spotify:track:7jDaPmrp3Z4KsPOqOPwjc0
666,With Her Hand - Ralf GUM Instrumental,Ralf Gum,With Her Hand,26,7589076,2.11,spotify:track:6XXgcvTWRlPl3w6e8pYBct
667,The Come On,Crazy P,Walk Dance Talk Sing,26,7453816,2.07,spotify:track:6WJ2zvuW29vu21doAkygek
668,Sing It Back - Boris Dlugosch Mix,Moloko,Catalogue,26,6882123,1.91,spotify:track:53qhh1kdcX4gRBShoW4LK8
669,SUNRISE 5000,ELWD,SUNRISE 5000,26,6750492,1.88,spotify:track:6LuvUCbwEscnxRMIjIVqAv
670,Have Fun For A Little,Art of Tones,Unbalanced,26,6655105,1.85,spotify:track:4Drc2azoyB3qgdSuZA5Ygc
671,No One - Captain Planet Disco Edit,David Walters,Bow Down Remixes,26,6621327,1.84,spotify:track:22LLCpi9A55RWswJmHkzoM
672,Your Good Times Are Here,Laurence Guy,Your Good Times Are Here,26,6533138,1.81,spotify:track:7tAGnxLiQTU0EjezyOjUj2
673,Dansen Op De Regenboog,Goldband,Betaalbare Romantiek,26,6296297,1.75,spotify:track:6YAIBRw9I27zDOmBfRnjBM
674,John Cooper Clarke,Working Men's Club,Working Men's Club,26,6261828,1.74,spotify:track:0nB4eK0gt35KiqxDteR8pi
675,El Amor De Mis Amores,Acid Coco,Mucho Gusto,26,5231053,1.45,spotify:track:2vHnbhln13iWtU1cI1oXtc
676,Naive,The Kooks,Inside In / Inside Out,26,5073246,1.41,spotify:track:7BHPGtpuuWWsvE7cCaMuEU
677,joycelyn's dance,berlioz,joycelyn's dance,26,4928422,1.37,spotify:track:6OI1stBQI4YHH2ceWVIrk4
678,Uit M'n Bol,Andre Hazes,Met Heel Mijn Hart,26,4893667,1.36,spotify:track:0uCGho2Tyzcq3vTKerkWiQ
679,BMW,Bad Boy Chiller Crew,Disrespectful,26,4714458,1.31,spotify:track:3M4lhhcss897JQ0qUp2g8B
680,Lotus 72 D,Zé Roberto,Lotus 72 D,26,4682812,1.3,spotify:track:25JrVa0pOZhb4WvuCK1JVk
681,Danza Organica,Sam Ruffillo,Italianissimo EP,26,4627503,1.29,spotify:track:4bLuMAVUgd6nATmUt6K65p
682,Social Distancing - FJAAK Remix,Modeselektor,Social Distancing,26,4518384,1.26,spotify:track:3qOFYNilHfBDnYGvPuWrzl
683,Sick Bitch - ANAL HOUSE Remix,LSDXOXO,Dedicated 2 Disrespect: The Remixes,26,4502297,1.25,spotify:track:7rugLXZpZN0sNObH4efHRp
684,It's a Fine Day,Opus III,Mind Fruit,26,4146004,1.15,spotify:track:67Hp634KZbo9B5WMsJOalE
685,Make Art Not €,ANOTR,The Reset,26,4107627,1.14,spotify:track:3Zw9U06bZ7k5F01FtSvqPQ
686,Onbezonnen,Froukje,Licht En Donker,26,4025388,1.12,spotify:track:4dxWDDEkFq9VqsAcIM0IpT
687,Welcome To The People,JADED,Welcome To The People,26,3662878,1.02,spotify:track:4O3APpGNhOldqDsPF8IaS5
688,on & on - Sammy Virji Remix,piri & tommy,on & on,26,3048015,0.85,spotify:track:6w7eHZFNdOpg2teEBCqjy2
689,night.sky,Samwise,Winter Chill,26,1806941,0.5,spotify:track:7d4F57dp4LHreqxNUzRfHS
690,Waiting 4 You,Steve Spacek,Houses,25,10589634,2.94,spotify:track:0dKpH9fPOWbH2q58WaluKI
691,Starry Night,Peggy Gou,Starry Night,25,9775704,2.72,spotify:track:46KG2wmw38sYm1GoRHIsOW
692,Don't Turn It Off - Greg Wilson Edit,40 Thieves,Don't Turn It off (Remixes),25,9554128,2.65,spotify:track:30NLTeJ3HVX2iVyAVtrLHM
693,Just A Dance Track,Nachtboutique,"Dirty Night's and Boogie Light's, Pt. 3",25,9503979,2.64,spotify:track:1o6KxVNzIDNQcgqAcHi0uW
694,Keep It Real,Loure,Westside Movements,25,9439547,2.62,spotify:track:4YpCTAZRpNmW1EHLVrq4ur
695,Floating on Silence,Tour-Maubourg,Floating on Silence,25,9136859,2.54,spotify:track:0x29CeLQLR31LY4OtWkcPp
696,Ive Brussel - JKriv Rework,JKriv,Aguaxirê,25,9031516,2.51,spotify:track:1PaI0F5Q0lUwNS6EhaTcmC
697,Alone Together,Joseph Lawrence,Alone Together,25,8986743,2.5,spotify:track:4JCm0vE8LmADneXxC1TBO4
698,Into The Red,Matt O'Brien,Talis / Into The Red,25,8352867,2.32,spotify:track:49oI5pe5QdJ6aAH59bvY5D
699,Tru Dancing,O'Flynn,Aletheia,25,8089640,2.25,spotify:track:0M5nj7eG7QcDrdlzOv86c3
700,"Going Back to My Roots - 12"" Version",Odyssey,The Greatest Hits,25,7947376,2.21,spotify:track:1a4JG31yqWFwsFccPIxAYO
701,Freak Like U - Club Mix,Masarima,Freak Like U,25,7256471,2.02,spotify:track:4Sv8UfMtBHBzR6n0yOlApc
702,Cool Bananas,Tell,Cool Bananas,25,7113505,1.98,spotify:track:7FheJOrB8J0eyK0ebcBAlI
703,Black Sea,Drexciya,Journey of the Deep Sea Dweller IV,25,7110851,1.98,spotify:track:0GQJuLehat8Hm5CUTnlfQp
704,Focus - SE Edit,Dan Kye,Small Moments,25,6990288,1.94,spotify:track:43B6ybhV5xIH5JRippvh15
705,The Witness,Crazy P,Age of the Ego,25,6804447,1.89,spotify:track:3NkKmcwRCJI1r1hQexVfk9
706,Smalltown Boy,Bronski Beat,The Age of Consent,25,6693847,1.86,spotify:track:5vmRQ3zELMLUQPo2FLQ76x
707,Velocity,Ludwig A.F.,Minus One,25,6212493,1.73,spotify:track:4tXxKL0sitqkLiPJLUmubz
708,Gipsy - Silvano Del Gado Remix (Edit),Plaster Hands,Gipsy,25,6119665,1.7,spotify:track:6exhSKLKFm0x9Lq9uYPWWJ
709,My Love,Route 94,My Love,25,6000948,1.67,spotify:track:4N1MFKjziFHH4IS3RYYUrU
710,"Maniac - From ""Flashdance""",Michael Sembello,ドライブが楽しくなる洋楽ヒッツ！80年代 DANCE,25,5950408,1.65,spotify:track:0Q6mJSyGsUmg9WXgOcOf7A
711,My Heart Is on Fire - Radio Version,Gianni Durante,My Heart Is on Fire,25,5896464,1.64,spotify:track:2TsXVAIz0HcddI6pQBvGf1
712,Soca dance,Cuba Trinidad,Compil tropicale,25,5865802,1.63,spotify:track:06mSImHNFyq2QHYlAkbEtO
713,Via Botswana,Professor Rhythm,Bafana Bafana,25,5714779,1.59,spotify:track:1s39dAMDRkXStqjW8O0Hwd
714,The Sand Troopers,THEOS,The Sand Troopers,25,5614131,1.56,spotify:track:19lYHEHtFupj2uQWi2SPTJ
715,Mama,David Walters,Soleil Kréyol,25,5288920,1.47,spotify:track:33RHz9NyxTpzgCamZvt9H1
716,Controller,Channel Tres,Controller,25,5186450,1.44,spotify:track:7vHlOaJF7lfWOfProxfCot
717,Jusqu'ici tout va bien,Okvsho,Orange Wine,25,5030874,1.4,spotify:track:0SLUNiULPVKvgudaIV8xhB
718,Here Comes The Sun - Remastered 2009,The Beatles,Abbey Road,25,4419144,1.23,spotify:track:6dGnYIeXmHdcikdzNNDMm2
719,Até Meu Violão,Bruno Berle,No Reino Dos Afetos,25,4234284,1.18,spotify:track:47T54qbp9SreG2h7RBaMEG
720,UK Rap,Dave,Split Decision,25,4225850,1.17,spotify:track:2VjOTvl50tscmc0RDjPdr2
721,NUEVAYoL,Bad Bunny,DeBÍ TiRAR MáS FOToS,25,4214415,1.17,spotify:track:5TFD2bmFKGhoCRbX61nXY5
722,Sunny,Bobby Hebb,Sunny,25,3810996,1.06,spotify:track:4vju55Ag7apDL2CfotuE7Q
723,The Cure & The Cause - Radio Edit,Fish Go Deep,The Cure & The Cause,25,3715630,1.03,spotify:track:5LHWCCB939zRSMfMX1J509
724,Ecstasy,Fabich,Vibe Creator,25,3681214,1.02,spotify:track:5ICUko5tff4xEdS4DdnODT
725,To Marseille from Paris (Interlude by Dimitri From Paris),Superfunk,Hold Up,25,2419114,0.67,spotify:track:1c19fUlWSa3eMDM17DMdJi
726,"Sprechen Sie Deutsch, Bitch?",Outerspass,"Sprechen Sie Deutsch, Bitch?",25,2255641,0.63,spotify:track:2cgt6gov8C7GqifWWcbUpW
727,Ask Yourself - Audiojack's Chemical Rewind,Homework,Conversation Piece (Remixes),24,11849882,3.29,spotify:track:5RlyClGYXvwUOb29J2TmcY
728,Pictures Of You - Remastered,The Cure,Disintegration,24,9982554,2.77,spotify:track:2o49Twc3qrNMOt8gq9W06L
729,Cadillac Disco,Tête de la Course,Get Me A Drink EP,24,9293185,2.58,spotify:track:7mrB7Axk59XzsrSG5SQnS0
730,Night Of Desirable Objects,Folamour,Umami,24,9125375,2.53,spotify:track:6aO19OZDf9v2mwDDAiwGvB
731,I Feel Love - Extended Mix,David Morales,Life Is a Song,24,8963798,2.49,spotify:track:2Rq5rQiFJkzix65MkQI8PV
732,Oyelo - Atjazz Love Soul Remix,Sunlightsquare,Oyelo - The Atjazz Remixes,24,8843561,2.46,spotify:track:6GFcYDW9kRFoG3bMxFAX3v
733,The Rapture Pt.III,&ME,The Rapture Pt.III,24,8066008,2.24,spotify:track:200DiJQhDi69nkGXOrrJgn
